frequency,raw,smoothed,error,equalization
20.0000,7.6300,7.6133,7.6133,-7.6133
20.1998,7.6300,7.6103,7.6103,-7.6103
20.4015,7.6299,7.6068,7.6068,-7.6068
20.6053,7.6202,7.6028,7.6028,-7.6028
20.8112,7.6100,7.5984,7.5984,-7.5984
21.0190,7.6100,7.5935,7.5935,-7.5935
21.2290,7.6000,7.5879,7.5879,-7.5879
21.4410,7.5900,7.5817,7.5817,-7.5817
21.6552,7.5802,7.5747,7.5747,-7.5747
21.8715,7.5699,7.5668,7.5668,-7.5668
22.0900,7.5600,7.5579,7.5579,-7.5579
22.3106,7.5500,7.5477,7.5477,-7.5477
22.5335,7.5500,7.5364,7.5364,-7.5364
22.7586,7.5401,7.5243,7.5243,-7.5243
22.9859,7.5302,7.5116,7.5116,-7.5116
23.2155,7.5202,7.4985,7.4985,-7.4985
23.4474,7.5002,7.4851,7.4851,-7.4851
23.6816,7.4807,7.4717,7.4717,-7.4717
23.9182,7.4602,7.4587,7.4587,-7.4587
24.1571,7.4402,7.4461,7.4461,-7.4461
24.3984,7.4102,7.4342,7.4342,-7.4342
24.6421,7.3906,7.4229,7.4229,-7.4229
24.8882,7.3701,7.4122,7.4122,-7.4122
25.1368,7.3601,7.4019,7.4019,-7.4019
25.3879,7.3600,7.3917,7.3917,-7.3917
25.6415,7.3697,7.3814,7.3814,-7.3814
25.8976,7.3795,7.3705,7.3705,-7.3705
26.1563,7.3899,7.3587,7.3587,-7.3587
26.4176,7.3995,7.3458,7.3458,-7.3458
26.6815,7.4000,7.3314,7.3314,-7.3314
26.9480,7.3904,7.3157,7.3157,-7.3157
27.2172,7.3614,7.2986,7.2986,-7.2986
27.4890,7.3216,7.2806,7.2806,-7.2806
27.7636,7.2712,7.2621,7.2621,-7.2621
28.0409,7.2216,7.2437,7.2437,-7.2437
28.3210,7.1716,7.2259,7.2259,-7.2259
28.6039,7.1417,7.2094,7.2094,-7.2094
28.8896,7.1111,7.1945,7.1945,-7.1945
29.1782,7.1100,7.1817,7.1817,-7.1817
29.4697,7.1100,7.1709,7.1709,-7.1709
29.7640,7.1289,7.1620,7.1620,-7.1620
30.0613,7.1394,7.1547,7.1547,-7.1547
30.3616,7.1588,7.1487,7.1487,-7.1487
30.6649,7.1695,7.1435,7.1435,-7.1435
30.9712,7.1700,7.1385,7.1385,-7.1385
31.2806,7.1700,7.1335,7.1335,-7.1335
31.5930,7.1605,7.1279,7.1279,-7.1279
31.9086,7.1507,7.1215,7.1215,-7.1215
32.2273,7.1404,7.1140,7.1140,-7.1140
32.5492,7.1213,7.1052,7.1052,-7.1052
32.8744,7.1010,7.0952,7.0952,-7.0952
33.2027,7.0810,7.0840,7.0840,-7.0840
33.5344,7.0609,7.0719,7.0719,-7.0719
33.8694,7.0506,7.0592,7.0592,-7.0592
34.2077,7.0407,7.0460,7.0460,-7.0460
34.5494,7.0306,7.0326,7.0326,-7.0326
34.8945,7.0207,7.0190,7.0190,-7.0190
35.2430,7.0108,7.0054,7.0054,-7.0054
35.5951,7.0007,6.9918,6.9918,-6.9918
35.9506,6.9906,6.9782,6.9782,-6.9782
36.3097,6.9711,6.9644,6.9644,-6.9644
36.6724,6.9515,6.9508,6.9508,-6.9508
37.0387,6.9312,6.9371,6.9371,-6.9371
37.4087,6.9112,6.9237,6.9237,-6.9237
37.7824,6.9007,6.9103,6.9103,-6.9103
38.1598,6.8908,6.8968,6.8968,-6.8968
38.5409,6.8808,6.8833,6.8833,-6.8833
38.9259,6.8706,6.8694,6.8694,-6.8694
39.3147,6.8606,6.8552,6.8552,-6.8552
39.7074,6.8508,6.8407,6.8407,-6.8407
40.1041,6.8318,6.8256,6.8256,-6.8256
40.5046,6.8209,6.8103,6.8103,-6.8103
40.9092,6.8108,6.7945,6.7945,-6.7945
41.3179,6.7916,6.7781,6.7781,-6.7781
41.7306,6.7807,6.7611,6.7611,-6.7611
42.1474,6.7523,6.7434,6.7434,-6.7434
42.5684,6.7315,6.7251,6.7251,-6.7251
42.9936,6.7025,6.7063,6.7063,-6.7063
43.4231,6.6817,6.6873,6.6873,-6.6873
43.8568,6.6620,6.6680,6.6680,-6.6680
44.2949,6.6416,6.6486,6.6486,-6.6486
44.7374,6.6309,6.6290,6.6290,-6.6290
45.1842,6.6120,6.6093,6.6093,-6.6093
45.6356,6.5920,6.5893,6.5893,-6.5893
46.0914,6.5717,6.5691,6.5691,-6.5691
46.5518,6.5521,6.5487,6.5487,-6.5487
47.0168,6.5319,6.5281,6.5281,-6.5281
47.4864,6.5119,6.5073,6.5073,-6.5073
47.9608,6.4921,6.4862,6.4862,-6.4862
48.4398,6.4721,6.4647,6.4647,-6.4647
48.9237,6.4519,6.4427,6.4427,-6.4427
49.4124,6.4229,6.4201,6.4201,-6.4201
49.9059,6.4022,6.3971,6.3971,-6.3971
50.4044,6.3822,6.3735,6.3735,-6.3735
50.9079,6.3531,6.3493,6.3493,-6.3493
51.4164,6.3321,6.3247,6.3247,-6.3247
51.9300,6.3035,6.2995,6.2995,-6.2995
52.4487,6.2824,6.2737,6.2737,-6.2737
52.9726,6.2533,6.2473,6.2473,-6.2473
53.5018,6.2233,6.2203,6.2203,-6.2203
54.0362,6.2024,6.1927,6.1927,-6.1927
54.5759,6.1736,6.1646,6.1646,-6.1646
55.1211,6.1433,6.1358,6.1358,-6.1358
55.6717,6.1137,6.1064,6.1064,-6.1064
56.2278,6.0834,6.0764,6.0764,-6.0764
56.7894,6.0537,6.0459,6.0459,-6.0459
57.3567,6.0234,6.0146,6.0146,-6.0146
57.9296,5.9849,5.9827,5.9827,-5.9827
58.5082,5.9537,5.9503,5.9503,-5.9503
59.0927,5.9235,5.9172,5.9172,-5.9172
59.6829,5.8939,5.8835,5.8835,-5.8835
60.2791,5.8548,5.8490,5.8490,-5.8490
60.8812,5.8239,5.8137,5.8137,-5.8137
61.4893,5.7853,5.7777,5.7777,-5.7777
62.1035,5.7538,5.7407,5.7407,-5.7407
62.7239,5.7149,5.7027,5.7027,-5.7027
63.3504,5.6751,5.6636,5.6636,-5.6636
63.9832,5.6354,5.6232,5.6232,-5.6232
64.6223,5.5955,5.5813,5.5813,-5.5813
65.2678,5.5551,5.5378,5.5378,-5.5378
65.9198,5.5155,5.4925,5.4925,-5.4925
66.5782,5.4670,5.4450,5.4450,-5.4450
67.2433,5.4253,5.3953,5.3953,-5.3953
67.9149,5.3770,5.3434,5.3434,-5.3434
68.5933,5.3271,5.2894,5.2894,-5.2894
69.2785,5.2681,5.2337,5.2337,-5.2337
69.9705,5.2085,5.1768,5.1768,-5.1768
70.6694,5.1486,5.1197,5.1197,-5.1197
71.3753,5.0803,5.0633,5.0633,-5.0633
72.0883,5.0100,5.0087,5.0087,-5.0087
72.8083,4.9313,4.9569,4.9569,-4.9569
73.5356,4.8514,4.9092,4.9092,-4.9092
74.2701,4.7719,4.8664,4.8664,-4.8664
75.0120,4.7002,4.8297,4.8297,-4.8297
75.7613,4.6472,4.7994,4.7994,-4.7994
76.5180,4.6144,4.7761,4.7761,-4.7761
77.2824,4.6015,4.7595,4.7595,-4.7595
78.0543,4.6255,4.7490,4.7490,-4.7490
78.8340,4.6555,4.7436,4.7436,-4.7436
79.6214,4.7110,4.7420,4.7420,-4.7420
80.4168,4.7623,4.7424,4.7424,-4.7424
81.2200,4.8036,4.7430,4.7430,-4.7430
82.0313,4.8352,4.7423,4.7423,-4.7423
82.8507,4.8484,4.7386,4.7386,-4.7386
83.6783,4.8500,4.7306,4.7306,-4.7306
84.5141,4.8332,4.7173,4.7173,-4.7173
85.3583,4.8050,4.6978,4.6978,-4.6978
86.2109,4.7665,4.6719,4.6719,-4.6719
87.0721,4.7185,4.6394,4.6394,-4.6394
87.9418,4.6685,4.6008,4.6008,-4.6008
88.8203,4.6102,4.5568,4.5568,-4.5568
89.7075,4.5503,4.5086,4.5086,-4.5086
90.6035,4.4822,4.4575,4.4575,-4.4575
91.5085,4.4118,4.4051,4.4051,-4.4051
92.4226,4.3420,4.3528,4.3528,-4.3528
93.3458,4.2724,4.3022,4.3022,-4.3022
94.2782,4.2022,4.2544,4.2544,-4.2544
95.2199,4.1325,4.2106,4.2106,-4.2106
96.1711,4.0707,4.1716,4.1716,-4.1716
97.1317,4.0188,4.1382,4.1382,-4.1382
98.1019,3.9855,4.1105,4.1105,-4.1105
99.0818,3.9718,4.0887,4.0887,-4.0887
100.0715,3.9700,4.0723,4.0723,-4.0723
101.0711,3.9864,4.0606,4.0606,-4.0606
102.0807,4.0144,4.0528,4.0528,-4.0528
103.1004,4.0444,4.0476,4.0476,-4.0476
104.1302,4.0745,4.0439,4.0439,-4.0439
105.1703,4.0881,4.0404,4.0404,-4.0404
106.2209,4.0981,4.0361,4.0361,-4.0361
107.2819,4.1000,4.0300,4.0300,-4.0300
108.3535,4.0919,4.0214,4.0214,-4.0214
109.4358,4.0738,4.0095,4.0095,-4.0095
110.5289,4.0458,3.9941,3.9941,-3.9941
111.6330,4.0159,3.9750,3.9750,-3.9750
112.7481,3.9859,3.9521,3.9521,-3.9521
113.8743,3.9560,3.9258,3.9258,-3.9258
115.0118,3.9180,3.8962,3.8962,-3.8962
116.1606,3.8860,3.8637,3.8637,-3.8637
117.3209,3.8479,3.8288,3.8288,-3.8288
118.4928,3.8080,3.7918,3.7918,-3.7918
119.6764,3.7682,3.7530,3.7530,-3.7530
120.8718,3.7283,3.7126,3.7126,-3.7126
122.0792,3.6804,3.6708,3.6708,-3.6708
123.2986,3.6382,3.6279,3.6279,-3.6279
124.5302,3.5905,3.5840,3.5840,-3.5840
125.7741,3.5483,3.5391,3.5391,-3.5391
127.0304,3.5003,3.4933,3.4933,-3.4933
128.2993,3.4585,3.4469,3.4469,-3.4469
129.5808,3.4105,3.3999,3.3999,-3.3999
130.8752,3.3606,3.3525,3.3525,-3.3525
132.1825,3.3106,3.3050,3.3050,-3.3050
133.5028,3.2608,3.2578,3.2578,-3.2578
134.8363,3.2107,3.2111,3.2111,-3.2111
136.1832,3.1531,3.1653,3.1653,-3.1653
137.5435,3.1009,3.1206,3.1206,-3.1206
138.9174,3.0510,3.0774,3.0774,-3.0774
140.3050,3.0010,3.0358,3.0358,-3.0358
141.7065,2.9589,2.9959,2.9959,-2.9959
143.1220,2.9190,2.9578,2.9578,-2.9578
144.5516,2.8789,2.9214,2.9214,-2.9214
145.9955,2.8545,2.8869,2.8869,-2.8869
147.4538,2.8345,2.8539,2.8539,-2.8539
148.9267,2.8145,2.8220,2.8220,-2.8220
150.4143,2.7945,2.7910,2.7910,-2.7910
151.9167,2.7745,2.7603,2.7603,-2.7603
153.4342,2.7468,2.7297,2.7297,-2.7297
154.9668,2.7169,2.6989,2.6989,-2.6989
156.5147,2.6870,2.6675,2.6675,-2.6675
158.0781,2.6493,2.6355,2.6355,-2.6355
159.6571,2.6170,2.6026,2.6026,-2.6026
161.2519,2.5795,2.5688,2.5688,-2.5688
162.8626,2.5470,2.5341,2.5341,-2.5341
164.4894,2.5095,2.4984,2.4984,-2.4984
166.1324,2.4696,2.4618,2.4618,-2.4618
167.7919,2.4296,2.4246,2.4246,-2.4246
169.4679,2.3896,2.3867,2.3867,-2.3867
171.1607,2.3496,2.3485,2.3485,-2.3485
172.8704,2.3098,2.3099,2.3099,-2.3099
174.5972,2.2698,2.2711,2.2711,-2.2711
176.3412,2.2298,2.2322,2.2322,-2.2322
178.1026,2.1899,2.1933,2.1933,-2.1933
179.8816,2.1499,2.1542,2.1542,-2.1542
181.6784,2.1175,2.1152,2.1152,-2.1152
183.4932,2.0800,2.0760,2.0760,-2.0760
185.3261,2.0401,2.0368,2.0368,-2.0368
187.1772,2.0002,1.9974,1.9974,-1.9974
189.0469,1.9601,1.9578,1.9578,-1.9578
190.9352,1.9202,1.9181,1.9181,-1.9181
192.8425,1.8802,1.8783,1.8783,-1.8783
194.7687,1.8403,1.8383,1.8383,-1.8383
196.7142,1.8004,1.7982,1.7982,-1.7982
198.6792,1.7604,1.7579,1.7579,-1.7579
200.6637,1.7204,1.7174,1.7174,-1.7174
202.6681,1.6804,1.6767,1.6767,-1.6767
204.6925,1.6405,1.6358,1.6358,-1.6358
206.7371,1.5932,1.5948,1.5948,-1.5948
208.8022,1.5506,1.5537,1.5537,-1.5537
210.8879,1.5106,1.5126,1.5126,-1.5126
212.9944,1.4707,1.4715,1.4715,-1.4715
215.1219,1.4307,1.4304,1.4304,-1.4304
217.2707,1.3907,1.3894,1.3894,-1.3894
219.4410,1.3508,1.3483,1.3483,-1.3483
221.6329,1.3109,1.3072,1.3072,-1.3072
223.8468,1.2636,1.2661,1.2661,-1.2661
226.0827,1.2210,1.2252,1.2252,-1.2252
228.3410,1.1810,1.1844,1.1844,-1.1844
230.6219,1.1410,1.1439,1.1439,-1.1439
232.9255,1.1011,1.1036,1.1036,-1.1036
235.2521,1.0611,1.0635,1.0635,-1.0635
237.6020,1.0212,1.0235,1.0235,-1.0235
239.9754,0.9812,0.9837,0.9837,-0.9837
242.3724,0.9412,0.9441,0.9441,-0.9441
244.7934,0.9013,0.9047,0.9047,-0.9047
247.2386,0.8613,0.8656,0.8656,-0.8656
249.7082,0.8213,0.8267,0.8267,-0.8267
252.2025,0.7886,0.7882,0.7882,-0.7882
254.7217,0.7515,0.7498,0.7498,-0.7498
257.2661,0.7115,0.7115,0.7115,-0.7115
259.8358,0.6715,0.6735,0.6735,-0.6735
262.4313,0.6316,0.6358,0.6358,-0.6358
265.0527,0.5917,0.5983,0.5983,-0.5983
267.7002,0.5588,0.5611,0.5611,-0.5611
270.3742,0.5217,0.5243,0.5243,-0.5243
273.0749,0.4817,0.4877,0.4877,-0.4877
275.8026,0.4488,0.4514,0.4514,-0.4514
278.5575,0.4119,0.4155,0.4155,-0.4155
281.3400,0.3719,0.3798,0.3798,-0.3798
284.1502,0.3389,0.3446,0.3446,-0.3446
286.9885,0.3090,0.3097,0.3097,-0.3097
289.8552,0.2720,0.2751,0.2751,-0.2751
292.7505,0.2391,0.2408,0.2408,-0.2408
295.6747,0.2022,0.2068,0.2068,-0.2068
298.6281,0.1691,0.1731,0.1731,-0.1731
301.6111,0.1392,0.1397,0.1397,-0.1397
304.6238,0.1023,0.1066,0.1066,-0.1066
307.6666,0.0692,0.0737,0.0737,-0.0737
310.7398,0.0393,0.0411,0.0411,-0.0411
313.8437,0.0093,0.0087,0.0087,-0.0087
316.9786,-0.0275,-0.0234,-0.0234,0.0234
320.1449,-0.0606,-0.0552,-0.0552,0.0552
323.3427,-0.0906,-0.0868,-0.0868,0.0868
326.5725,-0.1206,-0.1181,-0.1181,0.1181
329.8346,-0.1505,-0.1492,-0.1492,0.1492
333.1292,-0.1805,-0.1800,-0.1800,0.1800
336.4568,-0.2105,-0.2106,-0.2106,0.2106
339.8176,-0.2472,-0.2410,-0.2410,0.2410
343.2119,-0.2804,-0.2710,-0.2710,0.2710
346.6402,-0.3036,-0.3007,-0.3007,0.3007
350.1027,-0.3303,-0.3301,-0.3301,0.3301
353.5998,-0.3603,-0.3591,-0.3591,0.3591
357.1318,-0.3903,-0.3879,-0.3879,0.3879
360.6991,-0.4202,-0.4164,-0.4164,0.4164
364.3021,-0.4502,-0.4444,-0.4444,0.4444
367.9410,-0.4801,-0.4721,-0.4721,0.4721
371.6163,-0.5034,-0.4994,-0.4994,0.4994
375.3283,-0.5301,-0.5261,-0.5261,0.5261
379.0774,-0.5600,-0.5525,-0.5525,0.5525
382.8639,-0.5833,-0.5784,-0.5784,0.5784
386.6882,-0.6100,-0.6039,-0.6039,0.6039
390.5508,-0.6333,-0.6290,-0.6290,0.6290
394.4519,-0.6599,-0.6537,-0.6537,0.6537
398.3920,-0.6832,-0.6778,-0.6778,0.6778
402.3714,-0.7032,-0.7014,-0.7014,0.7014
406.3906,-0.7298,-0.7246,-0.7246,0.7246
410.4500,-0.7532,-0.7472,-0.7472,0.7472
414.5498,-0.7732,-0.7694,-0.7694,0.7694
418.6907,-0.7931,-0.7911,-0.7911,0.7911
422.8729,-0.8197,-0.8124,-0.8124,0.8124
427.0969,-0.8431,-0.8332,-0.8332,0.8332
431.3631,-0.8631,-0.8535,-0.8535,0.8535
435.6718,-0.8830,-0.8733,-0.8733,0.8733
440.0237,-0.8965,-0.8926,-0.8926,0.8926
444.4190,-0.9130,-0.9116,-0.9116,0.9116
448.8582,-0.9330,-0.9303,-0.9303,0.9303
453.3417,-0.9530,-0.9487,-0.9487,0.9487
457.8700,-0.9665,-0.9669,-0.9669,0.9669
462.4436,-0.9829,-0.9849,-0.9849,0.9849
467.0628,-1.0029,-1.0027,-1.0027,1.0027
471.7282,-1.0229,-1.0205,-1.0205,1.0205
476.4402,-1.0364,-1.0380,-1.0380,1.0380
481.1993,-1.0528,-1.0555,-1.0555,1.0555
486.0059,-1.0728,-1.0729,-1.0729,1.0729
490.8605,-1.0928,-1.0903,-1.0903,1.0903
495.7636,-1.1128,-1.1075,-1.1075,1.1075
500.7156,-1.1264,-1.1244,-1.1244,1.1244
505.7172,-1.1427,-1.1411,-1.1411,1.1411
510.7687,-1.1627,-1.1575,-1.1575,1.1575
515.8706,-1.1763,-1.1735,-1.1735,1.1735
521.0235,-1.1926,-1.1891,-1.1891,1.1891
526.2279,-1.2126,-1.2042,-1.2042,1.2042
531.4843,-1.2263,-1.2188,-1.2188,1.2188
536.7932,-1.2426,-1.2329,-1.2329,1.2329
542.1551,-1.2563,-1.2462,-1.2462,1.2462
547.5705,-1.2663,-1.2588,-1.2588,1.2588
553.0401,-1.2763,-1.2707,-1.2707,1.2707
558.5643,-1.2925,-1.2818,-1.2818,1.2818
564.1437,-1.3062,-1.2919,-1.2919,1.2919
569.7788,-1.3100,-1.3011,-1.3011,1.3011
575.4701,-1.3162,-1.3093,-1.3093,1.3093
581.2184,-1.3262,-1.3165,-1.3165,1.3165
587.0241,-1.3362,-1.3226,-1.3226,1.3226
592.8877,-1.3462,-1.3277,-1.3277,1.3277
598.8099,-1.3500,-1.3315,-1.3315,1.3315
604.7913,-1.3500,-1.3342,-1.3342,1.3342
610.8324,-1.3500,-1.3357,-1.3357,1.3357
616.9339,-1.3500,-1.3361,-1.3361,1.3361
623.0963,-1.3500,-1.3355,-1.3355,1.3355
629.3203,-1.3439,-1.3339,-1.3339,1.3339
635.6064,-1.3400,-1.3313,-1.3313,1.3313
641.9553,-1.3339,-1.3279,-1.3279,1.3279
648.3677,-1.3300,-1.3237,-1.3237,1.3237
654.8441,-1.3239,-1.3187,-1.3187,1.3187
661.3852,-1.3200,-1.3130,-1.3130,1.3130
667.9916,-1.3140,-1.3066,-1.3066,1.3066
674.6640,-1.3040,-1.2995,-1.2995,1.2995
681.4031,-1.2940,-1.2919,-1.2919,1.2919
